評論者,評分,時間,內容,店家名稱,店家ID
坑口叔,5,1 年前,過年前和家人找了個週日中午聚餐，要避開了尾牙、農曆年人潮，覺得寧靜舒適。印象最深是微縮模型盒火車壽司 ，每一貫壽司都很用心，松露干貝甜蝦非常鮮甜，海膽鮪魚泥帶有濃厚海洋味質地軟滑，招牌炸雞有夠多汁，吃完還讓人覺得意猶未盡，最後的甜點布丁有橙酒更是入口即充滿驚喜～爸媽跟小孩都很喜歡，輪輪能點到小小孩能吃的食物-小銀魚蒸飯，中間空擋服務生還提供畫筆畫紙，真的親子超友善！現在消費就可以抽紅包袋欸！而且抽到了今日最愛的炸雞，又有理由再來吃了！,Lun Lun1976,ChIJ_Y4vZzKrQjQRcqCqvdGszQQ
Ashley,5,2 年前,"老字號日料-大車輪開的新品牌
以「火車」為主題的裝潢風格
依照人數可事先預訂列車造型包廂空間(有低消)

食物好吃 服務也相當親切和善
但我們對酒水有點失望
這天點的酒感都很不足 比較像飲料 而且都偏甜
不過都很好拍 做得很漂亮

必點生魚片 烤串系列
餐點份量比較精緻
我們點了好多樣可以一起share著吃
最後即便已經吃撐了
我們還是被泡菜豆腐鍋給擄獲🥰

💰約1500/人(含酒)",Lun Lun1976,ChIJ_Y4vZzKrQjQRcqCqvdGszQQ
張阿暖,5,1 年前,食材新鮮，料理方式也很獨道，尤其每道餐點搭配的配菜及醬料都看的出來廚師是多麽用心的對待每一道餐點，外場服務人員服務親切迅速，餐廳的氣氛很棒讓人很舒服，環境也很乾凈，值得推薦~,Lun Lun1976,ChIJ_Y4vZzKrQjQRcqCqvdGszQQ
Yi-ting Chang,4,2 年前,"裝潢是大正時代火車車廂主題極有特色，整個是鬼滅無限列車感。
餐點精緻味道不錯，烤串烤魚特別突出，主食炊飯麵類相對較為普通
有很多特色調酒可以選擇～
食器有特色擺盤講究，但桌子有點太小，整個桌子會非常擠有點雜亂，很可惜不能凸顯食器擺盤的美",Lun Lun1976,ChIJ_Y4vZzKrQjQRcqCqvdGszQQ
Deborah Chang,5,1 年前,"50年老店大車輪在信義區開設的餐酒館，主打台灣首創第一間和洋食茶酒列車餐廳，延續大車輪西門町本舖的經典火車意象概念，讓客人可以坐進華麗又復古的火車車廂內大啖日本料理，真的是很令人難忘的用餐體驗。

食物選擇非常多元也很美味，擺盤也令人印象深刻。酒單的選擇也很豐富，我們來過兩次，都沒有被雷到。特別喜歡海鮮酪梨塔最中寶盒、紅魽薄片、生牛肉、以及蟹蟹の岩泡飯。其實每道菜都很好吃，而且服務非常得好，服務人員非常親切，而且貼心，上菜的速度也很快。不過調酒稍微偏甜一點，除此之外一切都很滿意。非常適合三五好友相聚的餐酒館。",Lun Lun1976,ChIJ_Y4vZzKrQjQRcqCqvdGszQQ
Cherry Hsiao,3,2 年前,"餐點最推👍
橙意滿滿香汁炸雞🐔鮮嫩多汁的雞肉擠上新鮮橙汁，旁邊還有醃黃瓜解膩

和牛雜炊🐮高湯用老母雞加柴魚熬煮,非常香濃🥰

捲壽司の鮭蜜🐟我就愛鮭魚❤️連同焦糖一起炙燒,一口一個的滿足甜味

調酒選擇大概8種～
基本上都偏甜沒什麼太重的酒味,適合喜歡低酒精甜味的朋友😉
調酒擺盤都很美～

建議可以訂低消$3000的商務車廂可容納2～4人，有沙發可以坐🤣也比較好拍照！",Lun Lun1976,ChIJ_Y4vZzKrQjQRcqCqvdGszQQ
KL Chen,3,1 年前,"先說結論，餐點跟飲品種類選擇非常多！如果是來小酌一杯吃點小點是十分推薦，但要吃正餐的話不推！

環境、服務都很好，餐點部分中規中矩，黃金和牛燒、野菇豚骨湯和炒小松菜是最不需要點的，和牛燒和豚骨湯兩個的內容物幾乎都一樣，就是超多的洋蔥跟一些菇！
-和牛燒的味道完全跟黑胡椒鐵板炒牛肉一樣
-豚骨湯味道沒有豚骨湯的濃郁之外還有點粉味
-炒小松菜說是明太子炒的但就是一般蒜頭炒菜沒有任何明太子突出的味道

雞軟骨跟西西里豬肉燒就蠻推薦的，味道很香又好吃！飲品也算好喝、有趣特別～",Lun Lun1976,ChIJ_Y4vZzKrQjQRcqCqvdGszQQ
夏夜,2,1 年前,"能給兩顆星真的是因為服務還行……
但上餐速度真的有待加強……
八點點完餐，九點姐姐的紙火鍋菲力居然是最後一個上的……？？？
我想問問這個餐點製作很複雜嗎……？？？
居然要一個小時才能上餐？？？

其他餐點口味還行，但吃完真的有種空虛感_(:3」∠ )_

可以吃一次試試看，同價位的餐酒館也是不少",Lun Lun1976,ChIJ_Y4vZzKrQjQRcqCqvdGszQQ
Nash Lin,5,2 年前,"餐點好吃且拍照起來也很美，環境則是自己最喜歡，
不管是車廂般的用餐環境又或者很有微美感十足的大正浪漫風~
真的很棒!
餐點自己則是最推橙意香汁炸雞以及捲壽司の鮭密~
橙意香汁炸雞
日式唐揚雞的製作手法，外皮相當的酥脆，
雞肉咬下也相當的多汁!
若想吃多一點層次的可以沾主廚特調醬汁，
喜歡清爽的朋友則可以擠點柳橙。
捲壽司の鮭密
肥美的鮭魚肉上放著一層炙燒過的焦糖，
甜甜脆脆的口感再加上鹹香的鮭魚卵，
一口咬下有著多層鹹甜層次感，
一吃真的會上癮，想要一口接一口~",Lun Lun1976,ChIJ_Y4vZzKrQjQRcqCqvdGszQQ
Jonathan Lee,4,8 個月前,裝潢設計有特色、餐點份量偏小份、座位可以再更寬鬆一些,Lun Lun1976,ChIJ_Y4vZzKrQjQRcqCqvdGszQQ
雲（小利）,5,2 年前,非常優秀的一家餐廳，不只是裝潢很美，餐點味道也都很棒，炸雞外酥內嫩，麝香葡萄甜點也很精緻美味，酒類跟飲料都很特別，食物份量以我們7個女生點到大包廂低消（8000）剛剛好，但食量大的男生可能就比較不夠。今天幫我們服務的服務生御碩在上菜時非常認真用心地幫我們介紹各種用料跟製作，服務也很周到，配上美麗的餐廳，用餐體驗非常好！推薦給喜歡拍照又對食物味道有要求的人來體驗看看！,Lun Lun1976,ChIJ_Y4vZzKrQjQRcqCqvdGszQQ
Vicky Yang,5,2 年前,"每道菜色都很棒！還沒吃到地雷菜色～
大推炭燒西西里豚肉串燒、野菇福袋
岩鍋野菇豚骨白湯也很好喝～
串燒類都不錯！口味偏重
所以飲料的部分建議點清爽的比較好唷！
適合人多聚餐吃～
很有特色的日本料理～～
有機會會再回訪",Lun Lun1976,ChIJ_Y4vZzKrQjQRcqCqvdGszQQ
TJ Wong,1,1 年前,"這個價位真的是來分攤租金的⋯
商務包廂（低消$6000，餐廳會貼心的打給你提醒低消）在一個人來人往的地方，沒有服務鈴，要開門或出去找服務生。
點餐沒有特別介紹一下餐廳特選，上菜也沒有介紹（像是生魚片拼盤（無附冰）：有什麼魚，產地，食用順序，搭配醬料、食用方法），問了一問三不知，說要確認一下，就一去不復返了⋯
出餐順序也很熱炒店，有什麼出什麼，生魚片、熱食、壽司、串燒一次出完⋯⋯沒有給人喘息的空間。完全沒有什麼fine dining的感覺⋯
只有調酒好喝，bartender親切跟櫃檯妹妹還算說的出點東西。
食物不難吃，食材也算新鮮，但整體而言，CP低，沒有期待沒有傷害。
服務人員應該要重新訓練了，不然光吃裝潢吸引顧客⋯⋯⋯
請加油好嗎？

#沒有刪評論，只是加了幾張照片！！不存在賺積分，不是安卓愛用者⋯只是單純想分享照片⋯⋯評論內容完全是真實反映之前的用餐感想。請勿惡意揣測！
如果貴餐廳近期有進步，那很棒！",Lun Lun1976,ChIJ_Y4vZzKrQjQRcqCqvdGszQQ
吃貨小寶兒,5,2 個月前,"副理幫我們點餐的 人很好
燉飯好吃 會在回訪",Lun Lun1976,ChIJ_Y4vZzKrQjQRcqCqvdGszQQ
張庭瑋,3,2 年前,"111/10/06 晚餐 三人 總共3000多元（含一杯調酒）
優點：裝潢很美，真的很美，餐盤擺盤都很美，調酒還行，服務生很友善、親切，笑容可掬。
缺點：
1.點完餐後沒有向客人確定餐點，導致點的餐點有兩道沒點到，菜都上完了，也沒給結帳單或是明細（別桌都有），主動詢問後才看到明細，這時才發現少點兩道菜……真心覺得記不起來的話不用勉強不用筆記紀錄。
2.點餐時服務員提到可以給熱水，等到菜上一半都沒有上到熱水，再次詢問，表示會盡快上到，但是直到用餐結束都沒有上……
3.除了第一道菜有介紹吃法菜色，其他餐上菜時只有講菜名，完全沒有介紹吃法，只能說畢竟是創意料理，有些太特別的不說沒人會懂啊…
補充：食物的部分個人認為無功無過，食物不會難吃但也沒驚豔到好吃，因為是創意料理，有些調味太過反而把食物原本的美味蓋過，單論CP值很低，但是把裝潢擺盤加進去就還好。
結論：如果是為了裝潢很值得來！！真的很美，除了天花板可以看到滿滿灰灰的管線。但是如果是想吃好吃、符合CP值的日式料理，那就不必了。",Lun Lun1976,ChIJ_Y4vZzKrQjQRcqCqvdGszQQ
Joe,5,1 年前,"生日來慶祝，
無論食物氛圍服務都很優👍

建議要詢問服務生
關於他們招牌菜
比較會選到適合菜色
他們服務一級棒👍👍👍
尤其有一位男服務員
很會推薦介紹

訂餐到三千可以有小半包廂",Lun Lun1976,ChIJ_Y4vZzKrQjQRcqCqvdGszQQ
Jung Tsung,4,2 年前,"新開幕想吃壽司
結果全都沒有
我就是衝著壽司而去
有點可惜

紅甘薄片韓風橙醋醬☑️
碳烤嫩鰻佐酒醋
季節野菜味增
炭火極牛肉串燒
橙意香汁炸雞
千層酥松茸湯☑️
蛋黃白醬烏龍麵☑️
輪輪和牛雜炊☑️
墨染寺☑️
札幌雪祭☑️
最後兩款飲品可點可不點，好喝是好喝但就是貴，不懂哪裡貴

☑️是我認為必點的

餐點中規中矩、不錯吃（算上好吃唄）
價位與CP值算是中高價位
比西門町本店好吃很多（每家分店不同）
希望之後可以吃到壽司
不過品嚐一次就行了",Lun Lun1976,ChIJ_Y4vZzKrQjQRcqCqvdGszQQ
Kevin Chang,2,2 年前,氣氛裝潢設計不錯很適合拍照！但是我比較重吃所以想來說一下今天用餐感受⋯餐點擺盤器具用的都很漂亮 就差在味道沒有很驚艷。而且最讓我在意的炭火烤鰻魚  完全沒有吃到是用炭火烤出來的味道  這應該就只是用明火烤箱烤出來的吧！（很失望）可能百貨規定廚房不能使用炭火吧。份量來說 就跟懷石料理一樣  小而精緻。飲料好喝！我可能只會造訪一次吧。今天花費兩個人點這些餐點三個開味菜一個湯品兩杯飲料含服務費2000初頭！,Lun Lun1976,ChIJ_Y4vZzKrQjQRcqCqvdGszQQ
Dan Li,3,1 年前,"開在百貨公司的居酒屋，食物好吃但CP值不高。
裝潢主打日式火車，但大部分都是壁紙感覺有點廉價。
調酒很有特色，也很多種類可以選擇",Lun Lun1976,ChIJ_Y4vZzKrQjQRcqCqvdGszQQ
天使（Angel）,4,1 年前,"下午茶一個人680.-包含7鹹3甜加一杯飲料（熱飲都還可以無限續杯）挺划算的。
- 原本想要大誇可樂餅好吃，但吃到整個蟹殼在裡面瞬間傻眼（也許是主廚創意料理，但我們真心覺得這樣口感就差了）
- 當天紅葉蛋糕被換掉，沒吃到很可惜
- 壽司捲的海苔軟掉也比較可惜
- 果乾乳酪袖珍吐司 和 櫻桃鴨大葉饅頭都好吃
其他幾道就一般般。",Lun Lun1976,ChIJ_Y4vZzKrQjQRcqCqvdGszQQ
T L,3,2 年前,"應該是3.5顆星，沒有4星，
因為整體吃起來沒有驚豔。
(畢竟是西門町老店車輪壽司起， 老店是吃飽價格優惠 家類型，不是精緻走向)

說很難訂，覺得其實還好。
進來後發現一堆空桌。
其實如果超過～67個人 ，包廂8000塊低消的話一定是得到。
因為訂了包廂又取消就很後悔，雖然一堆小孩吃，但大人吃都超過一萬多，因為生魚片接，清酒，壽司，很容易超標。
餐點的部分生魚片還ok，
除了旗魚筋比較多。
青菜的部分還蠻新鮮的，有點意外。
鰻魚完全不行這樣子，醬汁有點酸，而且皮很厚， 很難下嚥。
最好吃的竟然是烤雞肉串，嫩。
小孩子拼命吃餐包，這是居酒屋料理啊。
牛肉雜炊粥也不錯，粥蠻好吃的，牛肉普普。
海苔一口壽司份量蠻大的，價格200到300之間 ， 可是我吃起來覺得還好。

整體而言， 就是點餐，大家開心點餐點，餐點有及格。

吃過一次經驗應該就ok了。
感覺上這裡到都是女孩子過來拍照。

菜單竟然沒有甜點，
我勒，小朋友說蛤蜊土瓶蒸，沒上，付錢回家了。",Lun Lun1976,ChIJ_Y4vZzKrQjQRcqCqvdGszQQ
Chiang Wan Ying,3,2 年前,"週日的晚餐時段人不多，特殊座位與包廂需要低消。裝潢非常華麗漂亮，餐點精巧設計過但談不上美味，服務生告知部分餐點已售完，價格有點高，調酒倒是可以嚐嚐，風味順口，是今天最滿意的。
點了一道冷盤的酪梨寶盒，上桌後服務生表示可先拍照之後再請人過來分菜到最中餅裡，結果收走後上了兩三道菜後才送來，中間服務生先送到我右手邊的桌上，客人表示沒有點、服務生收走，從廚房出來後送到我左手邊的桌上，客人也表示他們沒點。我輕推了朋友，我們的菜一直回不來耶🥹
炸雞是每桌必點的，橙汁是半顆果實自己擠，很新鮮、不是一般濃郁的醬汁但很爽口，安全牌。
酥皮蕈菇湯或許可以把湯底換成濃湯，清湯跟酥皮真的不搭，把塔皮浸下去後瞬間發現毀了湯🥲
希望能改善餐點成為美食餐廳，不是來嚐一次的網美一次店。",Lun Lun1976,ChIJ_Y4vZzKrQjQRcqCqvdGszQQ
麥克風,5,2 個月前,環境好，東西好吃，飲料好喝有用心,Lun Lun1976,ChIJ_Y4vZzKrQjQRcqCqvdGszQQ
lh k,4,2 年前,"整體菜色還算精緻，尤其是火燒明蝦沙拉佐莓酒凍，除了擺盤讓人賞心悅目之外，料理的手法、火候也讓人驚艷好吃；最可惜的是炭火嫩鰻佐香檳酒醋，鰻魚有土腥味，大大的失分！
菜單附菜餚圖片，切記！圖片僅供參考與實際狀況仍有些差距，假日用餐人潮較多，宜避開尖峰時段或選擇包廂（包廂有低消），開車的朋友需注意小巷內有微風松高、遠百A13停車場入口，看清楚標示，以免誤入，新光Ａ11停車場準11點開放，提早到也無法進入，入口狹小還擺放交通錐，慢速前行以免擦碰愛車！",Lun Lun1976,ChIJ_Y4vZzKrQjQRcqCqvdGszQQ
Dai Chueh,5,1 年前,這家餐廳的裝潢氣氛十分迷人，透露出他們在擺盤上的用心。食物的水準也相當不錯。青菜部分點了櫛瓜和小松菜，呈現出日式風味，油份適中，火候恰到好處，蒜味濃而不膩。壽司的食材新鮮，並且有獨特的調味，味道和諧。調酒和Mocktail的種類也相當豐富，我點了日光東照宮和伏見桃山城兩款，口感偏甜。至於肉類串燒和魷魚食材，火候掌握得宜，味道令人滿意。整體而言，這家餐廳在裝潢、食物和飲品方面都表現出色，是一個值得推薦的餐廳。,Lun Lun1976,ChIJ_Y4vZzKrQjQRcqCqvdGszQQ
Amos Chang,4,1 年前,"聽聞很久的日式創意料理
整體給4顆星

*炊飯非常好吃🌟
*炭火西西里豚肉串燒👍灑了咖啡粉雖然苦苦的，味道雖然衝突但蠻好吃的！
*橙汁炸雞🍗蠻特別的，不過炸雞粉偏厚，有點可惜
*調酒🍹都很漂亮，很適合點來拍照

整體來說是蠻新奇的體驗，不過價格偏高，吃下來會覺得CP值比較低一些～～",Lun Lun1976,ChIJ_Y4vZzKrQjQRcqCqvdGszQQ
沫沫,5,1 年前,"上次紀念日時來這裡用餐，
這裡裝潢超復古、車廂設計也很棒、
非常有氣氛！而且餐點非常好吃～
不過沙發座位有低消三千，但很值得！
吃了一次就決定列為口袋名單～
有機會一定會再來吃！大推～",Lun Lun1976,ChIJ_Y4vZzKrQjQRcqCqvdGszQQ
Howard Pan,5,1 年前,如果喜歡西門町的大車輪，那這邊就是fancy版的大車輪，輪輪是大車輪的衍生出來的精緻風格，食材真的新鮮美味，服務態度也超級好，飲料不得不說也是相當fancy😂，喜歡精緻路線日式料理的朋友建議來嘗試看看喔 …,Lun Lun1976,ChIJ_Y4vZzKrQjQRcqCqvdGszQQ
Lisin Hsu,1,1 年前,"1.玉子燒根本是蛋糕！名稱混淆視聽
2. 鮭魚捲的飯太硬
3. 串燒超經典！不是多好的肉還只烤幾分熟塗上滿滿的醬，真不知道在吃什麼，吃到滿滿的肉腥味
4. 鰻魚蛋包飯，鰻魚滿滿的土味、蛋包內含奶油整體突兀到不行
5. 蟹肉塔跟春捲真的好真材實料，用蟹肉棒～
6. 小松菜老到我覺得我是頭羊",Lun Lun1976,ChIJ_Y4vZzKrQjQRcqCqvdGszQQ
Aryton Hsu,4,2 年前,"西門町大車輪開的和風洋食
氛圍營造得不錯
但人員訓練明顯不確實
餐點沒有到齊，員工就拿來帳單且說餐點已經到齊

餐點還不錯吃，茶類飲品價位高，只有某些產品可以做熱飲，且冰也無法調整

人均消大概要抓1000左右，包廂消費10000低消其實不難達成",Lun Lun1976,ChIJ_Y4vZzKrQjQRcqCqvdGszQQ
二月,5,2 年前,"服務小哥御碩推薦餐點很誠懇，真心推推。

一進到餐廳是復古列車的裝潢，很有質感很特別。

今天預約 6 位，被升等到6人包廂 （一般時候低消要8800）

西門町大車輪關係餐廳，食物有一定的品質，如果需要一個安靜的空間跟久違不見的朋友好好聊天，真心推推。

今天最推的餐點是「輪輪和牛雜炊」雖然CP值不高，一份雜炊牛肉沒有很多，但雜炊愛好者可以點起來，好吃！蛋黃白醬烏龍麵也是濃郁好吃！其他餐點經過服務小哥推薦都沒有踩雷。

聊到最後冷氣有點冷，記得穿外套 ☃️",Lun Lun1976,ChIJ_Y4vZzKrQjQRcqCqvdGszQQ
